Sno,Date,Time,State/UnionTerritory,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths,Confirmed,Updated On,State,Total Doses Administered,Sessions, Sites ,First Dose Administered,Second Dose Administered,Male (Doses Administered),Female (Doses Administered),Transgender (Doses Administered), Covaxin (Doses Administered),CoviShield (Doses Administered),Sputnik V (Doses Administered),AEFI,18-44 Years (Doses Administered),45-60 Years (Doses Administered),60+ Years (Doses Administered),18-44 Years(Individuals Vaccinated),45-60 Years(Individuals Vaccinated),60+ Years(Individuals Vaccinated),Male(Individuals Vaccinated),Female(Individuals Vaccinated),Transgender(Individuals Vaccinated),Date,State,TotalSamples,Negative,Positive
65,07-03-2020,6:00 PM,Rajasthan,1,14,0,0,15,21-03-2021,India,44645372,1919521,13892,37303458,7341914,,,,3711319,40934052,,15121,,,,8392363,10969933,17923778,20053560,17245870,4028,17-07-2020,Andaman and Nicobar Islands,19421,,194
66,08-03-2020,6:00 PM,Ladakh,2,0,0,0,2,22-03-2021,India,47204633,7458801,49877,39612614,7592019,,,,4025733,43178899,,15234,,,,8514176,11542500,19538350,21244939,18363361,4314,18-07-2020,Andaman and Nicobar Islands,19671,,198
67,08-03-2020,6:00 PM,Telengana,1,0,0,0,1,23-03-2021,India,49973152,6325666,42614,42148875,7824277,,,,4418254,45554897,,15414,,,,8657263,12235178,21238556,22532413,19611896,4566,19-07-2020,Andaman and Nicobar Islands,19904,,203
68,08-03-2020,6:00 PM,Tamil Nadu,1,0,0,0,1,24-03-2021,India,52216237,6309312,42607,44250191,7966046,,,,4755913,47460323,,15533,,,,8770039,12809134,22652955,23602891,20642500,4800,20-07-2020,Andaman and Nicobar Islands,20301,,207
69,08-03-2020,6:00 PM,Rajasthan,1,14,0,0,15,25-03-2021,India,54589220,6810937,46395,46454700,8134520,,,,5065307,49523912,,15692,,,,8895838,13438961,24101658,24744845,21704739,5116,21-07-2020,Andaman and Nicobar Islands,20642,,212
70,08-03-2020,6:00 PM,Kerala,8,0,3,0,8,26-03-2021,India,57021164,7290723,49904,48749313,8271851,,,,5363425,51657738,,15827,,,,9030708,14142017,25558079,25911744,22832194,5375,22-07-2020,Andaman and Nicobar Islands,21043,,221
71,08-03-2020,6:00 PM,Haryana,0,2,0,0,2,27-03-2021,India,59235436,6515557,44549,50865316,8370120,,,,5581810,53653625,,15942,,,,9170702,14835024,26840911,26976551,23883153,5612,23-07-2020,Andaman and Nicobar Islands,21310,,240
72,08-03-2020,6:00 PM,Delhi,3,0,0,0,3,28-03-2021,India,59557120,2724106,18876,51179587,8377533,,,,5600420,53956699,,15968,,,,9191854,14951629,27017385,27137004,24036939,5644,24-07-2020,Andaman and Nicobar Islands,21743,,259
73,08-03-2020,6:00 PM,Uttar Pradesh,7,0,0,0,7,29-03-2021,India,60183064,3614098,24773,51774289,8408775,,,,5673246,54509817,,16014,,,,9232163,15144058,27379282,27427546,24341025,5718,25-07-2020,Andaman and Nicobar Islands,21965,,290
74,09-03-2020,6:00 PM,Ladakh,2,0,0,0,2,30-03-2021,India,61990242,6935955,45244,53429356,8560886,,,,5820234,56170007,,16112,,,,9335310,15669710,28405395,28257441,25165987,5928,26-07-2020,Andaman and Nicobar Islands,22049,,324
